initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4499.9,-1996.23,0.062166,-1.386,1113.56,
-4500,-2000,-400,-2000,-4499.49,-1991.9,0.133761,2.016,777.326,
-4500,-2000,-400,-2000,-4498.93,-1988.41,0.17475,2.016,777.326,
-4500,-2000,-400,-2000,-4498.25,-1983.49,0.0929085,1.974,765.319,
-4500,-2000,-400,-2000,-4498,-1979.86,0.0329685,1.974,765.319,
-4500,-2000,-400,-2000,-4498.02,-1975.02,-0.046776,2.1,794.916,
-4500,-2000,-400,-2000,-4498.28,-1971.42,-0.106178,2.1,794.916,
-4500,-2000,-400,-2000,-4499.04,-1966.21,-0.19297,2.016,895.655,
-4500,-2000,-400,-2000,-4499.88,-1962.47,-0.256133,2.016,895.655,
-4500,-2000,-400,-2000,-4501.2,-1958.02,-0.332592,1.134,994.286,
-4500,-2000,-400,-2000,-4502.36,-1954.9,-0.387427,1.134,994.286,
-4500,-2000,-400,-2000,-4504.45,-1950.26,-0.471237,1.302,1008.6,
-4500,-2000,-400,-2000,-4505.9,-1947.57,-0.521577,1.302,1008.6,
-4500,-2000,-400,-2000,-4508.68,-1943.14,-0.607754,1.47,1030.65,
-4500,-2000,-400,-2000,-4511.28,-1939.64,-0.679528,1.47,1030.65,
-4500,-2000,-400,-2000,-4514.02,-1936.45,-0.748879,1.638,1061.18,
-4500,-2000,-400,-2000,-4517.16,-1933.28,-0.822326,1.638,1061.18,
-4500,-2000,-400,-2000,-4520.5,-1930.37,-0.895251,1.764,1089.43,
-4500,-2000,-400,-2000,-4524.05,-1927.71,-0.968364,1.764,1089.43,
-4500,-2000,-400,-2000,-4527.87,-1925.26,-1.04324,1.932,1119.46,
-4500,-2000,-400,-2000,-4531.68,-1923.2,-1.11455,1.932,1119.46,
-4500,-2000,-400,-2000,-4535.41,-1921.5,-1.18204,2.058,1150.36,
-4500,-2000,-400,-2000,-4539.26,-1920.06,-1.24974,2.058,1150.36,
-4500,-2000,-400,-2000,-4543.86,-1918.71,-1.32877,-0.294,1219.21,
-4500,-2000,-400,-2000,-4547.33,-1917.94,-1.38723,-0.294,1219.21,
-4500,-2000,-400,-2000,-4552.07,-1917.23,-1.46628,-0.126,1203.89,
-4500,-2000,-400,-2000,-4555.79,-1916.94,-1.52771,-0.126,1203.89,
-4500,-2000,-400,-2000,-4559.92,-1916.89,4.68745,-6.70552e-08,1191.71,
-4500,-2000,-400,-2000,-4564.53,-1917.16,4.61143,-6.70552e-08,1191.71,
-4500,-2000,-400,-2000,-4569.04,-1917.77,4.53632,0.126,1183.83,
-4500,-2000,-400,-2000,-4571.57,-1918.26,4.49384,0.126,1183.83,
-4500,-2000,-400,-2000,-4576.17,-1919.45,4.41568,0.252,1179.9,
-4500,-2000,-400,-2000,-4579.93,-1920.72,4.35029,0.252,1179.9,
-4500,-2000,-400,-2000,-4584.46,-1922.62,4.2693,0.42,1179.63,
-4500,-2000,-400,-2000,-4588.23,-1924.56,4.19948,0.42,1179.63,
-4500,-2000,-400,-2000,-4591.55,-1926.55,4.13583,0.546,1183.85,
-4500,-2000,-400,-2000,-4594.96,-1928.91,4.06748,0.546,1183.85,
-4500,-2000,-400,-2000,-4598.51,-1931.77,3.99228,0.672,1191.57,
-4500,-2000,-400,-2000,-4601.45,-1934.5,3.92626,0.672,1191.57,
-4500,-2000,-400,-2000,-4604.09,-1937.3,3.86292,0.84,1203.48,
-4500,-2000,-400,-2000,-4607.07,-1940.93,3.78542,0.84,1203.48,
-4500,-2000,-400,-2000,-4609.56,-1944.47,3.71415,-2.058,935.847,
-4500,-2000,-400,-2000,-4611.44,-1947.55,3.65472,-2.058,935.847,
-4500,-2000,-400,-2000,-4613.62,-1951.76,3.57674,-1.974,911.814,
