initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4500,-1999.29,0.0116543,2.1,794.408,
-4500,-2000,-400,-2000,-4499.93,-1996.58,0.018444,2.1,794.408,
-4500,-2000,-400,-2000,-4499.99,-1992.22,-0.053376,2.1,790.794,
-4500,-2000,-400,-2000,-4500.25,-1988.85,-0.109039,2.1,790.794,
-4500,-2000,-400,-2000,-4501.19,-1982.82,-0.209518,2.016,897.12,
-4500,-2000,-400,-2000,-4501.71,-1980.52,-0.248395,2.016,897.12,
-4500,-2000,-400,-2000,-4503.22,-1975.42,-0.336097,1.134,1009.21,
-4500,-2000,-400,-2000,-4504.46,-1972.12,-0.39416,1.134,1009.21,
-4500,-2000,-400,-2000,-4506.57,-1967.53,-0.477404,1.302,1011.28,
-4500,-2000,-400,-2000,-4508.3,-1964.39,-0.536447,1.302,1011.28,
-4500,-2000,-400,-2000,-4510.65,-1960.7,-0.598407,1.47,1037.9,
-4500,-2000,-400,-2000,-4512.86,-1957.25,-0.530919,1.47,1037.9,
-4500,-2000,-400,-2000,-4515.12,-1953.07,-0.474083,1.386,1015.95,
-4500,-2000,-400,-2000,-4517.25,-1949.24,-0.546338,1.386,1015.95,
-4500,-2000,-400,-2000,-4519.42,-1945.89,-0.61207,1.47,1050.57,
-4500,-2000,-400,-2000,-4522.19,-1942.2,-0.688032,1.47,1050.57,
-4500,-2000,-400,-2000,-4524.77,-1939.23,-0.752903,1.638,1065,
-4500,-2000,-400,-2000,-4527.88,-1936.12,-0.825245,1.638,1065,
-4500,-2000,-400,-2000,-4530.81,-1933.56,-0.88944,1.764,1097.87,
-4500,-2000,-400,-2000,-4534.19,-1930.98,-0.959379,1.764,1097.87,
-4500,-2000,-400,-2000,-4537.92,-1928.54,-1.03286,1.89,1144.96,
-4500,-2000,-400,-2000,-4541.28,-1926.65,-1.09632,1.89,1144.96,
-4500,-2000,-400,-2000,-4545.6,-1924.62,-1.17504,2.058,1153.85,
-4500,-2000,-400,-2000,-4549.88,-1923,-1.25046,2.058,1153.85,
-4500,-2000,-400,-2000,-4553.77,-1921.83,-1.31729,-0.294,1209.47,
-4500,-2000,-400,-2000,-4557.53,-1920.97,-1.38082,-0.294,1209.47,
-4500,-2000,-400,-2000,-4562.76,-1920.17,-1.46794,-0.168,1194.01,
-4500,-2000,-400,-2000,-4566.18,-1919.9,-1.52452,-0.168,1194.01,
-4500,-2000,-400,-2000,-4571.15,-1919.85,4.67684,-6.70552e-08,1181.31,
-4500,-2000,-400,-2000,-4574.79,-1920.08,4.61674,-6.70552e-08,1181.31,
-4500,-2000,-400,-2000,-4579.28,-1920.66,4.54208,0.126,1173.13,
-4500,-2000,-400,-2000,-4583.41,-1921.5,4.47266,0.126,1173.13,
-4500,-2000,-400,-2000,-4587.35,-1922.58,4.40544,0.294,1169.3,
-4500,-2000,-400,-2000,-4591.37,-1923.99,4.33522,0.294,1169.3,
-4500,-2000,-400,-2000,-4595.19,-1925.64,4.2666,0.42,1169.12,
