initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4500,-1999.63,-0.00607875,2.1,794.408,
-4500,-2000,-400,-2000,-4500.06,-1997.05,-0.0486667,2.1,794.408,
-4500,-2000,-400,-2000,-4500.58,-1991.32,-0.143339,1.932,878.352,
-4500,-2000,-400,-2000,-4501.16,-1987.92,-0.200136,1.932,878.352,
-4500,-2000,-400,-2000,-4502.22,-1983.46,-0.275777,2.058,905.262,
-4500,-2000,-400,-2000,-4503.28,-1980.03,-0.334873,2.058,905.262,
-4500,-2000,-400,-2000,-4505.12,-1975.32,-0.418186,1.218,1028.77,
-4500,-2000,-400,-2000,-4506.72,-1971.96,-0.479558,1.218,1028.77,
-4500,-2000,-400,-2000,-4509.09,-1967.77,-0.55877,1.386,1044.45,
-4500,-2000,-400,-2000,-4510.98,-1964.9,-0.615458,1.386,1044.45,
-4500,-2000,-400,-2000,-4513.52,-1961.52,-0.685008,1.554,1063.03,
-4500,-2000,-400,-2000,-4516.36,-1958.26,-0.756334,1.554,1063.03,
-4500,-2000,-400,-2000,-4519.39,-1955.24,-0.826806,1.68,1093.35,
-4500,-2000,-400,-2000,-4522.46,-1952.57,-0.893766,1.68,1093.35,
-4500,-2000,-400,-2000,-4526.91,-1949.29,-0.984887,1.848,1115.17,
-4500,-2000,-400,-2000,-4529.54,-1947.62,-1.03613,1.848,1115.17,
-4500,-2000,-400,-2000,-4534.07,-1945.16,-1.12113,1.974,1142.7,
-4500,-2000,-400,-2000,-4537.69,-1943.54,-1.18633,1.974,1142.7,
-4500,-2000,-400,-2000,-4541.09,-1942.27,-1.2463,2.1,1194.06,
-4500,-2000,-400,-2000,-4545.43,-1940.97,-1.32086,2.1,1194.06,
-4500,-2000,-400,-2000,-4550.45,-1939.88,-1.40547,-0.21,1208.63,
