initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4500,-1999.38,-0.010275,2.1,794.408,
-4500,-2000,-400,-2000,-4500.05,-1997.33,-0.0439597,2.1,794.408,
-4500,-2000,-400,-2000,-4500.48,-1992.13,-0.129894,1.932,878.636,
-4500,-2000,-400,-2000,-4500.99,-1988.8,-0.185389,1.932,878.636,
-4500,-2000,-400,-2000,-4502.11,-1983.85,-0.269011,2.058,905.487,
-4500,-2000,-400,-2000,-4503.03,-1980.8,-0.321571,2.058,905.487,
-4500,-2000,-400,-2000,-4504.88,-1975.88,-0.408112,1.218,1009.82,
-4500,-2000,-400,-2000,-4506.3,-1972.8,-0.463912,1.218,1009.82,
-4500,-2000,-400,-2000,-4508.83,-1968.21,-0.550383,1.386,1027.27,
-4500,-2000,-400,-2000,-4510.96,-1964.93,-0.614751,1.386,1027.27,
-4500,-2000,-400,-2000,-4513.56,-1961.48,-0.686005,1.554,1063.26,
-4500,-2000,-400,-2000,-4516.16,-1958.48,-0.751283,1.554,1063.26,
-4500,-2000,-400,-2000,-4519.58,-1955.07,-0.830904,1.68,1096.08,
-4500,-2000,-400,-2000,-4522.12,-1952.85,-0.886508,1.68,1096.08,
-4500,-2000,-400,-2000,-4526.85,-1949.33,-0.983653,1.848,1113.45,
-4500,-2000,-400,-2000,-4529.59,-1947.59,-1.03711,1.848,1113.45,
-4500,-2000,-400,-2000,-4533.76,-1945.32,-1.11526,1.974,1152.99,
-4500,-2000,-400,-2000,-4536.42,-1944.08,-1.16358,1.974,1152.99,
-4500,-2000,-400,-2000,-4541.15,-1942.25,-1.24721,2.1,1186.36,
-4500,-2000,-400,-2000,-4545.24,-1941.02,-1.31756,2.1,1186.36,
-4500,-2000,-400,-2000,-4549.54,-1940.05,-1.39014,-0.21,1209.08,
-4500,-2000,-400,-2000,-4553.36,-1939.46,-1.45377,-0.21,1209.08,
-4500,-2000,-400,-2000,-4558.12,-1939.07,-1.53247,-0.0840001,1195.57,
-4500,-2000,-400,-2000,-4562.7,-1939.05,4.67514,-0.0840001,1195.57,
-4500,-2000,-400,-2000,-4566.98,-1939.34,4.60457,0.0839999,1185.13,
-4500,-2000,-400,-2000,-4569.97,-1939.72,4.5549,0.0839999,1185.13,
-4500,-2000,-400,-2000,-4574.52,-1940.6,4.47853,0.21,1179.01,
-4500,-2000,-400,-2000,-4578.98,-1941.82,4.40236,0.21,1179.01,
-4500,-2000,-400,-2000,-4582.68,-1943.12,4.33778,0.336,1177.11,
-4500,-2000,-400,-2000,-4585.65,-1944.37,4.28464,0.336,1177.11,
-4500,-2000,-400,-2000,-4590.47,-1946.8,4.19578,0.462,1179.16,
-4500,-2000,-400,-2000,-4593.94,-1948.91,4.1288,0.462,1179.16,
-4500,-2000,-400,-2000,-4596.96,-1951.02,4.06809,0.63,1185.43,
-4500,-2000,-400,-2000,-4600.44,-1953.82,3.99458,0.63,1185.43,
-4500,-2000,-400,-2000,-4603.82,-1956.98,3.91834,0.756,1195.14,
-4500,-2000,-400,-2000,-4606.77,-1960.18,3.84671,0.756,1195.14,
-4500,-2000,-400,-2000,-4609.79,-1963.99,3.76659,-2.058,953.663,
-4500,-2000,-400,-2000,-4611.76,-1966.85,3.70939,-2.058,953.663,
-4500,-2000,-400,-2000,-4614.36,-1971.29,3.62465,-2.016,922.592,
-4500,-2000,-400,-2000,-4616.09,-1974.84,3.55951,-2.016,922.592,
-4500,-2000,-400,-2000,-4617.71,-1978.79,3.48924,-1.89,898.896,
-4500,-2000,-400,-2000,-4618.95,-1982.55,3.42396,-1.89,898.896,
-4500,-2000,-400,-2000,-4619.97,-1986.51,3.35667,-1.806,874.496,
-4500,-2000,-400,-2000,-4620.8,-1991.04,3.28079,-1.806,874.496,
-4500,-2000,-400,-2000,-4621.29,-1995.68,3.20383,-1.68,848.125,
-4500,-2000,-400,-2000,-4621.42,-1999.29,3.14429,-1.68,848.125,
-4500,-2000,-400,-2000,-4621.27,-2004.11,3.06499,-1.512,821.249,
-4500,-2000,-400,-2000,-4620.79,-2008.51,2.99206,-1.512,821.249,
-4500,-2000,-400,-2000,-4620.01,-2012.79,2.92038,-1.386,791.448,
-4500,-2000,-400,-2000,-4618.86,-2017.21,2.84516,-1.386,791.448,
-4500,-2000,-400,-2000,-4617.55,-2021.09,2.77766,-1.26,760.664,
-4500,-2000,-400,-2000,-4616.37,-2024.01,2.72576,-1.26,760.664,
-4500,-2000,-400,-2000,-4614.15,-2028.57,2.64213,-1.092,733.359,
-4500,-2000,-400,-2000,-4612.42,-2031.57,2.58517,-1.092,733.359,
-4500,-2000,-400,-2000,-4609.56,-2035.81,2.50089,-0.966,702.078,
-4500,-2000,-400,-2000,-4606.93,-2039.11,2.43134,-0.966,702.078,
-4500,-2000,-400,-2000,-4603.85,-2042.47,2.35634,-0.84,674.794,
-4500,-2000,-400,-2000,-4601.38,-2044.82,2.30017,-0.84,674.794,
-4500,-2000,-400,-2000,-4597.3,-2048.2,2.21288,-0.672,648.629,
-4500,-2000,-400,-2000,-4594.66,-2050.08,2.15943,-0.672,648.629,
-4500,-2000,-400,-2000,-4590.67,-2052.57,2.08203,-0.504,624.472,
-4500,-2000,-400,-2000,-4587.33,-2054.33,2.01988,-0.504,624.472,
-4500,-2000,-400,-2000,-4583.57,-2056.01,1.95198,-0.336,603.758,
-4500,-2000,-400,-2000,-4579.25,-2057.58,1.87629,-0.336,603.758,
-4500,-2000,-400,-2000,-4574.94,-2058.79,1.80255,-0.168,585.9,
-4500,-2000,-400,-2000,-4571.34,-2059.54,1.74189,-0.168,585.9,
-4500,-2000,-400,-2000,-4566.34,-2060.22,1.68201,0.0419999,576.494,
-4500,-2000,-400,-2000,-4562.69,-2060.72,1.74254,0.0419999,576.494,
-4500,-2000,-400,-2000,-4558.42,-2061.59,1.81439,-0.0840001,568.648,
-4500,-2000,-400,-2000,-4554.51,-2062.69,1.88125,-0.0840001,568.648,
-4500,-2000,-400,-2000,-4549.78,-2064.39,1.96404,-0.294,566.427,
-4500,-2000,-400,-2000,-4546.11,-2066.04,2.03031,-0.294,566.427,
-4500,-2000,-400,-2000,-4541.46,-2068.56,2.11756,-0.504,570.584,
-4500,-2000,-400,-2000,-4537.87,-2070.91,2.18823,-0.504,570.584,
-4500,-2000,-400,-2000,-4534.74,-2073.26,2.25259,-0.672,581.356,
-4500,-2000,-400,-2000,-4530.9,-2076.62,2.33674,-0.672,581.356,
-4500,-2000,-400,-2000,-4527.96,-2079.62,2.40589,-0.798,593.839,
-4500,-2000,-400,-2000,-4526.18,-2081.67,2.45062,-0.798,593.839,
-4500,-2000,-400,-2000,-4522.43,-2086.65,2.55345,-0.924,610.472,
-4500,-2000,-400,-2000,-4520.73,-2089.33,2.60571,-0.924,610.472,
-4500,-2000,-400,-2000,-4518.3,-2093.78,2.68922,-1.05,629.922,
-4500,-2000,-400,-2000,-4516.62,-2097.52,2.75668,-1.05,629.922,
-4500,-2000,-400,-2000,-4515.47,-2100.53,2.80984,-1.218,652.782,
-4500,-2000,-400,-2000,-4513.99,-2105.4,2.89357,-1.218,652.782,
-4500,-2000,-400,-2000,-4513.13,-2109.25,2.95865,-1.386,678.832,
-4500,-2000,-400,-2000,-4512.56,-2112.86,3.01883,-1.386,678.832,
-4500,-2000,-400,-2000,-4512.17,-2117.14,3.08957,-1.512,703.969,
-4500,-2000,-400,-2000,-4512.07,-2120.91,3.15176,-1.512,703.969,
-4500,-2000,-400,-2000,-4512.35,-2126.41,3.21906,-1.68,731.572,
-4500,-2000,-400,-2000,-4513.23,-2140.03,3.19038,-1.68,731.572,
-4500,-2000,-400,-2000,-4513.84,-2158,3.158,-1.68,729.417,
-4500,-2000,-400,-2000,-4513.93,-2173.69,3.1338,-1.68,729.417,
-4500,-2000,-400,-2000,-4513.55,-2193.25,3.10773,-1.68,723.246,
-4500,-2000,-400,-2000,-4512.64,-2213.59,3.08451,-1.68,723.246,
-4500,-2000,-400,-2000,-4511.27,-2234.32,3.06441,-1.68,717.442,
-4500,-2000,-400,-2000,-4509.65,-2253.63,3.0486,-1.68,717.442,
-4500,-2000,-400,-2000,-4506.71,-2282.33,3.02868,-1.722,718.098,
-4500,-2000,-400,-2000,-4504.26,-2302.98,3.01685,-1.722,718.098,
-4500,-2000,-400,-2000,-4500.33,-2332.81,3.00298,-1.764,720.847,
-4500,-2000,-400,-2000,-4495.39,-2366.75,2.99073,-1.764,720.847,
-4500,-2000,-400,-2000,-4490.28,-2399.5,2.98156,-1.806,724.251,
-4500,-2000,-400,-2000,-4485.57,-2428.2,2.97578,-1.806,724.251,
-4500,-2000,-400,-2000,-4478.28,-2471.03,2.97008,-1.89,742.576,
-4500,-2000,-400,-2000,-4473.03,-2501.14,2.96767,-1.89,742.576,
-4500,-2000,-400,-2000,-4466.47,-2538.39,2.96659,-1.974,766.09,
-4500,-2000,-400,-2000,-4458.31,-2584.63,2.96754,-1.974,766.09,
-4500,-2000,-400,-2000,-4451.08,-2626.02,2.97048,1.764,1519.55,
-4500,-2000,-400,-2000,-4446.66,-2651.79,2.97348,1.764,1519.55,
-4500,-2000,-400,-2000,-4438.73,-2698.85,2.97576,1.722,1530.74,
-4500,-2000,-400,-2000,-4432.06,-2738.71,2.97563,1.722,1530.74,
-4500,-2000,-400,-2000,-4426.5,-2771.77,2.96429,0.168,1487.55,
-4500,-2000,-400,-2000,-4425.61,-2775.96,2.89372,0.168,1487.55,
-4500,-2000,-400,-2000,-4424.55,-2779.72,2.82941,0.294,1476.76,
-4500,-2000,-400,-2000,-4423.26,-2783.36,2.76582,0.294,1476.76,
-4500,-2000,-400,-2000,-4421.07,-2788.32,2.6764,-2.016,871.283,
-4500,-2000,-400,-2000,-4419.45,-2791.36,2.61964,-2.016,871.283,
-4500,-2000,-400,-2000,-4416.99,-2795.32,2.54298,-1.932,867.674,
-4500,-2000,-400,-2000,-4414.68,-2798.51,2.47808,-1.932,867.674,
-4500,-2000,-400,-2000,-4411.52,-2802.27,2.39713,-1.806,837.139,
-4500,-2000,-400,-2000,-4409.1,-2804.77,2.33989,-1.806,837.139,
-4500,-2000,-400,-2000,-4405.7,-2807.86,2.26409,-1.68,797.618,
-4500,-2000,-400,-2000,-4402.83,-2810.12,2.20402,-1.68,797.618,
-4500,-2000,-400,-2000,-4399.46,-2812.45,2.13654,-1.554,766.189,
-4500,-2000,-400,-2000,-4395.64,-2814.7,2.06346,-1.554,766.189,
-4500,-2000,-400,-2000,-4391.53,-2816.74,1.98784,-1.428,742.457,
-4500,-2000,-400,-2000,-4388.02,-2818.18,1.92534,-1.428,742.457,
-4500,-2000,-400,-2000,-4384,-2819.53,1.85548,-1.302,720.53,
-4500,-2000,-400,-2000,-4380.14,-2820.54,1.78984,-1.302,720.53,
-4500,-2000,-400,-2000,-4375.54,-2821.4,1.71275,-1.134,685.857,
-4500,-2000,-400,-2000,-4372.04,-2821.82,1.65465,-1.134,685.857,
-4500,-2000,-400,-2000,-4367.51,-2822.05,1.57991,-1.008,653.47,
-4500,-2000,-400,-2000,-4363.42,-2821.96,1.51261,-1.008,653.47,
-4500,-2000,-400,-2000,-4358.39,-2821.48,1.43998,-0.84,619.336,
-4500,-2000,-400,-2000,-4354.95,-2821.12,1.49689,-0.84,619.336,
-4500,-2000,-400,-2000,-4350.07,-2820.93,1.57732,-0.966,634.501,
-4500,-2000,-400,-2000,-4346.28,-2821.06,1.63987,-0.966,634.501,
-4500,-2000,-400,-2000,-4341.65,-2821.53,1.71648,-1.134,657.251,
-4500,-2000,-400,-2000,-4337.5,-2822.27,1.78591,-1.134,657.251,
-4500,-2000,-400,-2000,-4332.19,-2823.66,1.87638,-1.302,675.339,
-4500,-2000,-400,-2000,-4328.25,-2825.03,1.94507,-1.302,675.339,
-4500,-2000,-400,-2000,-4324.31,-2826.71,2.01568,-1.47,704.389,
-4500,-2000,-400,-2000,-4320.23,-2828.83,2.09153,-1.47,704.389,
-4500,-2000,-400,-2000,-4316.8,-2830.92,2.15758,-1.638,748.988,
-4500,-2000,-400,-2000,-4313.54,-2833.23,2.22334,-1.638,748.988,
-4500,-2000,-400,-2000,-4309.63,-2836.45,2.30674,-1.764,759.011,
-4500,-2000,-400,-2000,-4307.16,-2838.8,2.363,-1.764,759.011,
-4500,-2000,-400,-2000,-4304,-2842.22,2.43971,-1.932,813.546,
-4500,-2000,-400,-2000,-4301.34,-2845.58,2.51026,-1.932,813.546,
-4500,-2000,-400,-2000,-4298.91,-2849.13,2.5812,-2.058,831.586,
-4500,-2000,-400,-2000,-4297,-2852.36,2.6429,-2.058,831.586,
-4500,-2000,-400,-2000,-4295.1,-2856.12,2.71234,0.462,1410.99,
-4500,-2000,-400,-2000,-4293.8,-2859.12,2.76623,0.462,1410.99,
-4500,-2000,-400,-2000,-4292.11,-2863.95,2.85048,0.336,1394.89,
-4500,-2000,-400,-2000,-4291.06,-2867.84,2.91696,0.336,1394.89,
-4500,-2000,-400,-2000,-4290.25,-2871.97,2.97599,0.168,1380.2,
-4500,-2000,-400,-2000,-4289.4,-2876.25,2.9041,0.168,1380.2,
-4500,-2000,-400,-2000,-4288.1,-2880.88,2.82485,0.294,1375.93,
-4500,-2000,-400,-2000,-4286.75,-2884.65,2.75893,0.294,1375.93,
-4500,-2000,-400,-2000,-4284.96,-2888.7,2.68589,0.42,1376.49,
-4500,-2000,-400,-2000,-4283.06,-2892.31,2.61872,0.42,1376.49,
-4500,-2000,-400,-2000,-4280.8,-2895.96,2.54799,0.588,1381.25,
-4500,-2000,-400,-2000,-4278.54,-2899.12,2.484,0.588,1381.25,
-4500,-2000,-400,-2000,-4275.34,-2902.96,2.40162,-2.016,869.218,
-4500,-2000,-400,-2000,-4272.7,-2905.71,2.33887,-2.016,869.218,
-4500,-2000,-400,-2000,-4269.22,-2908.84,2.2618,-1.89,834.976,
-4500,-2000,-400,-2000,-4266.76,-2910.79,2.21012,-1.89,834.976,
-4500,-2000,-400,-2000,-4262.33,-2913.81,2.1217,-1.764,798.39,
-4500,-2000,-400,-2000,-4259.08,-2915.7,2.05974,-1.764,798.39,
