initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4500,-1999.58,-0.00687525,2.1,794.408,
-4500,-2000,-400,-2000,-4500.06,-1997.09,-0.0480195,2.1,794.408,
-4500,-2000,-400,-2000,-4500.47,-1992.16,-0.129398,1.932,878.538,
-4500,-2000,-400,-2000,-4501.13,-1988.08,-0.197447,1.932,878.538,
-4500,-2000,-400,-2000,-4502.26,-1983.32,-0.278124,2.058,905.281,
-4500,-2000,-400,-2000,-4503.33,-1979.89,-0.337407,2.058,905.281,
-4500,-2000,-400,-2000,-4505.1,-1975.37,-0.4172,1.26,1005.92,
-4500,-2000,-400,-2000,-4506.75,-1971.91,-0.480486,1.26,1005.92,
-4500,-2000,-400,-2000,-4509.13,-1967.7,-0.56012,1.386,1046.59,
-4500,-2000,-400,-2000,-4511.22,-1964.56,-0.603395,1.386,1046.59,
-4500,-2000,-400,-2000,-4513.76,-1960.59,-0.525868,1.428,1057.4,
-4500,-2000,-400,-2000,-4515.63,-1957.15,-0.480693,1.428,1057.4,
-4500,-2000,-400,-2000,-4518.07,-1952.86,-0.562115,1.428,1028.26,
-4500,-2000,-400,-2000,-4520.15,-1949.74,-0.623889,1.428,1028.26,
-4500,-2000,-400,-2000,-4522.94,-1946.13,-0.69894,1.554,1075.45,
-4500,-2000,-400,-2000,-4526.26,-1942.45,-0.780655,1.554,1075.45,
-4500,-2000,-400,-2000,-4528.66,-1940.14,-0.835574,1.722,1085.24,
-4500,-2000,-400,-2000,-4532.36,-1937.02,-0.91524,1.722,1085.24,
-4500,-2000,-400,-2000,-4535.69,-1934.62,-0.982854,1.848,1134.25,
-4500,-2000,-400,-2000,-4539.09,-1932.49,-1.04887,1.848,1134.25,
-4500,-2000,-400,-2000,-4543.03,-1930.39,-1.12247,2.016,1144.04,
-4500,-2000,-400,-2000,-4546.92,-1928.67,-1.19256,2.016,1144.04,
-4500,-2000,-400,-2000,-4551.23,-1927.12,-1.268,-0.336,1215.43,
-4500,-2000,-400,-2000,-4554.99,-1926.06,-1.33242,-0.336,1215.43,
-4500,-2000,-400,-2000,-4559.34,-1925.15,-1.40565,-0.21,1199.38,
-4500,-2000,-400,-2000,-4563.25,-1924.61,-1.47059,-0.21,1199.38,
-4500,-2000,-400,-2000,-4567.71,-1924.3,-1.54435,-0.0420001,1185.33,
-4500,-2000,-400,-2000,-4572.3,-1924.34,4.6633,-0.0420001,1185.33,
-4500,-2000,-400,-2000,-4576.6,-1924.68,4.59229,0.0839999,1175.01,
-4500,-2000,-400,-2000,-4580.59,-1925.28,4.52571,0.0839999,1175.01,
-4500,-2000,-400,-2000,-4585.02,-1926.27,4.45105,0.21,1169.82,
-4500,-2000,-400,-2000,-4588.97,-1927.46,4.38302,0.21,1169.82,
-4500,-2000,-400,-2000,-4592.53,-1928.78,4.32039,0.378,1168.3,
-4500,-2000,-400,-2000,-4596.71,-1930.68,4.24476,0.378,1168.3,
