initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4500,-1999.7,-0.005013,1.344,1007.52,
-4500,-2000,-400,-2000,-4500.2,-1994.71,-0.0872325,2.1,796.939,
-4500,-2000,-400,-2000,-4500.49,-1991.97,-0.132629,2.1,796.939,
-4500,-2000,-400,-2000,-4501.32,-1987.1,-0.214037,2.016,896.62,
-4500,-2000,-400,-2000,-4502.44,-1982.65,-0.289612,2.016,896.62,
-4500,-2000,-400,-2000,-4503.76,-1978.66,-0.358822,1.176,993.059,
-4500,-2000,-400,-2000,-4505.07,-1975.42,-0.416328,1.176,993.059,
-4500,-2000,-400,-2000,-4507.08,-1971.25,-0.4927,1.344,1024.76,
-4500,-2000,-400,-2000,-4508.66,-1968.47,-0.545351,1.344,1024.76,
-4500,-2000,-400,-2000,-4511.47,-1964.19,-0.629597,1.47,1050.92,
-4500,-2000,-400,-2000,-4513.96,-1960.97,-0.696736,1.47,1050.92,
-4500,-2000,-400,-2000,-4516.65,-1957.94,-0.763509,1.638,1071.84,
-4500,-2000,-400,-2000,-4520.41,-1954.31,-0.84952,1.638,1071.84,
-4500,-2000,-400,-2000,-4523.54,-1951.71,-0.91656,1.764,1123.27,
-4500,-2000,-400,-2000,-4527.11,-1949.15,-0.989005,1.764,1123.27,
-4500,-2000,-400,-2000,-4530.72,-1946.93,-1.05887,1.932,1129.44,
-4500,-2000,-400,-2000,-4534.04,-1945.18,-1.12068,1.932,1129.44,
-4500,-2000,-400,-2000,-4537.76,-1943.51,-1.1878,2.058,1162.47,
-4500,-2000,-400,-2000,-4541.69,-1942.06,-1.25675,2.058,1162.47,
-4500,-2000,-400,-2000,-4546.5,-1940.69,-1.33921,-0.294,1217.28,
-4500,-2000,-400,-2000,-4550.56,-1939.86,-1.40747,-0.294,1217.28,
-4500,-2000,-400,-2000,-4554.84,-1939.29,-1.47869,-0.126,1200.46,
-4500,-2000,-400,-2000,-4558.93,-1939.03,-1.54622,-0.126,1200.46,
-4500,-2000,-400,-2000,-4563.04,-1939.05,4.66934,-6.70552e-08,1188.97,
-4500,-2000,-400,-2000,-4567.85,-1939.43,4.5899,-6.70552e-08,1188.97,
-4500,-2000,-400,-2000,-4572.17,-1940.11,4.51774,0.168,1180.96,
-4500,-2000,-400,-2000,-4575.68,-1940.89,4.45861,0.168,1180.96,
-4500,-2000,-400,-2000,-4580.13,-1942.21,4.38207,0.294,1177.34,
-4500,-2000,-400,-2000,-4584.35,-1943.81,4.30769,0.294,1177.34,
-4500,-2000,-400,-2000,-4588.51,-1945.76,4.23207,0.42,1178.22,
-4500,-2000,-400,-2000,-4591.45,-1947.39,4.17666,0.42,1178.22,
-4500,-2000,-400,-2000,-4595.99,-1950.32,4.08768,0.588,1182.88,
-4500,-2000,-400,-2000,-4598.84,-1952.49,4.02863,0.588,1182.88,
-4500,-2000,-400,-2000,-4602.57,-1955.76,3.94696,0.714,1192.35,
-4500,-2000,-400,-2000,-4605.69,-1958.96,3.87323,0.714,1192.35,
-4500,-2000,-400,-2000,-4607.95,-1961.6,3.81613,0.882,1205.44,
-4500,-2000,-400,-2000,-4610.49,-1964.98,3.74639,0.882,1205.44,
-4500,-2000,-400,-2000,-4612.63,-1968.27,3.68167,-2.058,929.085,
-4500,-2000,-400,-2000,-4614.72,-1972.02,3.61109,-2.058,929.085,
-4500,-2000,-400,-2000,-4616.53,-1975.87,3.5409,-1.974,907.278,
-4500,-2000,-400,-2000,-4617.92,-1979.43,3.47793,-1.974,907.278,
-4500,-2000,-400,-2000,-4619.49,-1984.58,3.38937,-1.848,882.56,
-4500,-2000,-400,-2000,-4620.37,-1988.54,3.32246,-1.848,882.56,
-4500,-2000,-400,-2000,-4621.01,-1992.76,3.25213,-1.722,856.304,
-4500,-2000,-400,-2000,-4621.33,-1996.72,3.18671,-1.722,856.304,
-4500,-2000,-400,-2000,-4621.4,-2000.53,3.12393,-1.554,829.56,
-4500,-2000,-400,-2000,-4621.05,-2006.27,3.02918,-1.554,829.56,
-4500,-2000,-400,-2000,-4620.4,-2010.73,2.95489,-1.428,802.693,
-4500,-2000,-400,-2000,-4619.68,-2014.12,2.89791,-1.428,802.693,
-4500,-2000,-400,-2000,-4618.37,-2018.72,2.81897,-1.302,772.48,
-4500,-2000,-400,-2000,-4617.16,-2022.06,2.76049,-1.302,772.48,
-4500,-2000,-400,-2000,-4615.43,-2026.04,2.68902,-1.176,744.114,
-4500,-2000,-400,-2000,-4613.87,-2029.06,2.63299,-1.176,744.114,
-4500,-2000,-400,-2000,-4611.56,-2032.91,2.5591,-1.008,713.868,
-4500,-2000,-400,-2000,-4609.22,-2036.25,2.49188,-1.008,713.868,
-4500,-2000,-400,-2000,-4606.18,-2039.99,2.41245,-0.882,686.822,
-4500,-2000,-400,-2000,-4603.58,-2042.75,2.35013,-0.882,686.822,
-4500,-2000,-400,-2000,-4598.72,-2047.18,2.24167,-0.756,659.943,
-4500,-2000,-400,-2000,-4596.97,-2048.54,2.20515,-0.756,659.943,
-4500,-2000,-400,-2000,-4592.44,-2051.6,2.11517,-0.588,633.095,
-4500,-2000,-400,-2000,-4590,-2053.01,2.0687,-0.588,633.095,
-4500,-2000,-400,-2000,-4585.39,-2055.31,1.9838,-0.42,612.944,
-4500,-2000,-400,-2000,-4582.34,-2056.56,1.92958,-0.42,612.944,
-4500,-2000,-400,-2000,-4577.58,-2058.15,1.84683,-0.252,592.327,
-4500,-2000,-400,-2000,-4574.69,-2058.91,1.79762,-0.252,592.327,
-4500,-2000,-400,-2000,-4569.72,-2059.88,1.71426,-0.0420001,579.99,
-4500,-2000,-400,-2000,-4566.5,-2060.27,1.66079,-0.0420001,579.99,
-4500,-2000,-400,-2000,-4561.29,-2060.54,1.57488,0.126,568.523,
-4500,-2000,-400,-2000,-4557.93,-2060.47,1.51945,0.126,568.523,
