initialPosX,initialPosZ,finalPosX,finalPosZ,RobotPoseX,RobotPoseZ,RobotPoseRot,MinObstacleAngle,MinObstacleDistance,
-4500,-2000,-400,-2000,-4499.78,-1995.98,0,0.336,40.5315,
-4500,-2000,-400,-2000,-4497.65,-1957.21,0.008877,2.1,793.836,
-4500,-2000,-400,-2000,-4497.6,-1955.08,0.0439132,2.1,793.836,
-4500,-2000,-400,-2000,-4497.05,-1948.94,0.145507,2.058,790.436,
-4500,-2000,-400,-2000,-4496.64,-1946.43,0.187502,2.058,790.436,
-4500,-2000,-400,-2000,-4495.24,-1940.51,0.28772,1.932,766.033,
-4500,-2000,-400,-2000,-4494.24,-1937.39,0.341563,1.932,766.033,
-4500,-2000,-400,-2000,-4492.52,-1933.01,0.4192,1.806,738.911,
-4500,-2000,-400,-2000,-4490.49,-1928.86,0.495281,1.806,738.911,
-4500,-2000,-400,-2000,-4488.47,-1925.35,0.561973,1.68,719.969,
-4500,-2000,-400,-2000,-4486.79,-1922.8,0.612345,1.68,719.969,
-4500,-2000,-400,-2000,-4484.16,-1919.28,0.684684,1.554,696.537,
-4500,-2000,-400,-2000,-4481.62,-1916.34,0.748655,1.554,696.537,
-4500,-2000,-400,-2000,-4478.18,-1912.89,0.8289,1.428,658.529,
-4500,-2000,-400,-2000,-4476.01,-1910.98,0.876548,1.428,658.529,
-4500,-2000,-400,-2000,-4472.15,-1907.99,0.957009,1.302,634.22,
-4500,-2000,-400,-2000,-4468.63,-1905.67,1.0265,1.302,634.22,
-4500,-2000,-400,-2000,-4463.67,-1902.93,1.11981,1.134,610.577,
-4500,-2000,-400,-2000,-4461.08,-1901.74,1.16667,1.134,610.577,
-4500,-2000,-400,-2000,-4456.82,-1900.07,1.24214,1.008,579.123,
-4500,-2000,-400,-2000,-4452.06,-1898.64,1.32391,1.008,579.123,
-4500,-2000,-400,-2000,-4447.86,-1897.69,1.39489,0.84,551.809,
-4500,-2000,-400,-2000,-4444.37,-1897.01,1.45344,0.84,551.809,
-4500,-2000,-400,-2000,-4438.9,-1896.36,1.54417,0.672,529.698,
-4500,-2000,-400,-2000,-4435.03,-1895.24,1.60749,0.672,529.698,
-4500,-2000,-400,-2000,-4429.03,-1888.69,1.6975,0.462,502.452,
-4500,-2000,-400,-2000,-4425.78,-1884.83,1.74134,0.462,502.452,
-4500,-2000,-400,-2000,-4419.63,-1878.71,1.82041,0.336,497.692,
-4500,-2000,-400,-2000,-4416.03,-1877.27,1.87119,0.336,497.692,
-4500,-2000,-400,-2000,-4410.2,-1875.54,1.95258,0.126,485.611,
-4500,-2000,-400,-2000,-4406.33,-1877.19,2.02182,0.126,485.611,
-4500,-2000,-400,-2000,-4402.99,-1878.87,2.08341,-0.0420001,475.201,
-4500,-2000,-400,-2000,-4399.14,-1881.17,2.15734,-0.0420001,475.201,
-4500,-2000,-400,-2000,-4395.15,-1884.36,2.24161,-0.252,469.197,
-4500,-2000,-400,-2000,-4393.81,-1887.96,2.29639,-0.252,469.197,
-4500,-2000,-400,-2000,-4393.57,-1895.33,2.3847,-0.462,475.568,
-4500,-2000,-400,-2000,-4397.49,-1902.53,2.42896,-0.462,475.568,
